,Date,Terminal ref,Terminal number,Unnamed: 3,Unnamed: 4,Type,ref,Unnamed: 7,status,Auth,Unnamed: 10,Value,Unnamed: 12,Donation Date,Hour,Day,Week,Month
0,05/11/16 13:49,10781204,1,,,Visa,446291 - ac1ab23d6288711be64a25bf13432baf1e60b2bd,,Committed,Offline Authorisation,,3.0,,2016-05-11 13:49:00,13,2,19,5
1,05/11/16 13:50,10781204,1,,,Visa,465911 - 3974230bedb7be31cc0210a0d68e274dcbd0b922,,Committed,Offline Authorisation,,3.0,,2016-05-11 13:50:00,13,2,19,5
2,05/11/16 13:50,10781204,1,,,Visa,475130 - 42246b26b54f6b64e7b13cb3f6240f1ce1b8d55a,,Committed,Offline Authorisation,,3.0,,2016-05-11 13:50:00,13,2,19,5
3,05/11/16 16:05,10781204,1,,,Visa,476223 - 1894044bed246387fe27024e1fca0df7bf105b1d,,Committed,Offline Authorisation,,3.0,,2016-05-11 16:05:00,16,2,19,5
4,05/11/16 16:24,10781204,1,,,Visa,465944 - 7665257830f6d2c0d3b44f434bef73b4ec26a4d9,,Committed,Offline Authorisation,,3.0,,2016-05-11 16:24:00,16,2,19,5
5,06/11/16 12:34,10781204,1,,,Visa,481698 - 1d3309ae08ffc29bca69577541e57d3d5ab66341,,Committed,Authorisation,,3.0,,2016-06-11 12:34:00,12,5,23,6
6,06/11/16 14:02,10781204,1,,,Visa,446242 - 6597785aa394f935e4b004bc6eeea8b7e1be0495,,Committed,Offline Authorisation,,3.0,,2016-06-11 14:02:00,14,5,23,6
7,06/11/16 14:03,10781204,1,,,Visa,465859 - 8b05af0ef2eac32530836bcebd512f38e0beae64,,Committed,Authorisation,,3.0,,2016-06-11 14:03:00,14,5,23,6
8,06/11/16 14:12,10781204,1,,,Visa,498824 - c89d8ef5e8b870c3285ec4a51c732c5459bc72e8,,Committed,Offline Authorisation,,3.0,,2016-06-11 14:12:00,14,5,23,6
9,07/11/16 14:02,10781204,1,,,Visa,465944 - 1982be06b41337d8297286892a85f3d2cbac016d,,Committed,Offline Authorisation,,3.0,,2016-07-11 14:02:00,14,0,28,7
10,07/11/16 14:02,10781204,1,,,Visa,465944 - 7844c0a595e5e71cc8c39a0b46d74f49652a0b3b,,Committed,Offline Authorisation,,3.0,,2016-07-11 14:02:00,14,0,28,7
11,09/11/16 14:31,10781204,1,,,Visa,475129 - 3a69d097ab8021fc8394b5a1ab3273e6173cbd09,,Committed,Offline Authorisation,,3.0,,2016-09-11 14:31:00,14,6,36,9
12,11/11/16 16:16,10781204,1,,,Visa,465902 - 6f541181bc282c67714f06143a01ab66dc16a797,,Committed,Offline Authorisation,,3.0,,2016-11-11 16:16:00,16,4,45,11
13,12/11/16 11:31,10781204,1,,,Visa,454742 - b1a47d93a52b0ed7d38a6dce2a7443bf9fe487e2,,Committed,Offline Authorisation,,3.0,,2016-12-11 11:31:00,11,6,49,12
14,12/11/16 12:20,10781204,1,,,Visa,475130 - 1c6c788d17cd2d26847ccea7b2a760a0fbd33281,,Committed,Offline Authorisation,,3.0,,2016-12-11 12:20:00,12,6,49,12
15,12/11/16 12:49,10781204,1,,,Visa,454313 - 3f102a573cd3e9afd8ac01139ab6427eb30c2f92,,Committed,Offline Authorisation,,3.0,,2016-12-11 12:49:00,12,6,49,12
16,12/11/16 12:49,10781204,1,,,Visa,483215 - 75dbeede5ade28febc59d2c513c7ca5514e7a736,,Committed,Authorisation,,3.0,,2016-12-11 12:49:00,12,6,49,12
17,12/11/16 13:14,10781204,1,,,Visa,482179 - 0a13a10c21102ee6ee57c9095dd9b323f678ea11,,Committed,Authorisation,,3.0,,2016-12-11 13:14:00,13,6,49,12
18,12/11/16 14:08,10781204,1,,,Visa,446291 - f225a4c2362d303b21c09ee07e46748bcf9648a2,,Committed,Offline Authorisation,,3.0,,2016-12-11 14:08:00,14,6,49,12
19,13/11/16 10:47,10781204,1,,,Visa,476248 - e61198212bd702982b9b2485d919fd56af75d09f,,Committed,Offline Authorisation,,3.0,,2016-11-13 10:47:00,10,6,45,11
20,13/11/16 10:48,10781204,1,,,Visa,492913 - 2827e228613b7a9e9a02c44db8900c169f6d44d2,,Committed,Offline Authorisation,,3.0,,2016-11-13 10:48:00,10,6,45,11
21,13/11/16 10:56,10781204,1,,,Visa,465950 - 748619d6da8037a46952d1fed7c02872b83f2ddf,,Committed,Offline Authorisation,,3.0,,2016-11-13 10:56:00,10,6,45,11
22,13/11/16 13:16,10781204,1,,,Visa,483192 - 7c7b84eeaec18233e982d101637ab2a4033c6fb0,,Committed,Authorisation,,3.0,,2016-11-13 13:16:00,13,6,45,11
23,13/11/16 14:37,10781204,1,,,Visa,498824 - 0fa69b95e59ff2492f97d2695e208cb9d481456a,,Committed,Offline Authorisation,,3.0,,2016-11-13 14:37:00,14,6,45,11
24,13/11/16 14:41,10781204,1,,,Visa,465944 - d32765fda7881b73559d0618e18e570f757a9a08,,Committed,Offline Authorisation,,3.0,,2016-11-13 14:41:00,14,6,45,11
25,13/11/16 16:58,10781204,1,,,Visa,492914 - 47f4e2825e6f0e1e0a04baa484e6214b697e1fb9,,Committed,Offline Authorisation,,3.0,,2016-11-13 16:58:00,16,6,45,11
26,13/11/16 16:58,10781204,1,,,Visa,492914 - 47f4e2825e6f0e1e0a04baa484e6214b697e1fb9,,Committed,Offline Authorisation,,3.0,,2016-11-13 16:58:00,16,6,45,11
27,15/11/16 13:53,10781204,1,,,Visa,476367 - 40a2515249febef1b455ee603b0c08ba0b984c5b,,Committed,Offline Authorisation,,3.0,,2016-11-15 13:53:00,13,1,46,11
28,15/11/16 15:08,10781204,1,,,Visa,481821 - 8b34e3847a8e7e1a096204bc6d84d3aef7228238,,Committed,Authorisation,,3.0,,2016-11-15 15:08:00,15,1,46,11
29,16/11/16 15:21,10781204,1,,,Visa,475130 - 87277d4685e66d0f85b9a13ed48c9253d5bc8fb0,,Committed,Offline Authorisation,,3.0,,2016-11-16 15:21:00,15,2,46,11
30,16/11/16 15:21,10781204,1,,,Visa,475130 - 31fdbeceb4b385a0c05e892b39655130d99d14f2,,Committed,Offline Authorisation,,3.0,,2016-11-16 15:21:00,15,2,46,11
