Instances,Session,Postcode,attend Latitude,attend Longitude,Date,Number,Location,Aattended,Total attended,Venue,Venue Postcode,venue lat,venue long,Season,Distance,sort order
8,Coffee & Craft,EH10 5DB,55.9260391,-3.22282,01/04/17,,Onsite,27,27,BALTIC,NE8 3BA,54.96921,-1.59828,Spring 17,,762
3,Coffee & Craft,NE12 6YY,55.0327844,-1.55177,01/04/17,,Onsite,27,27,BALTIC,NE8 3BA,54.96921,-1.59828,Spring 17,,757
10,Coffee & Craft,NE3 1EE,55.0086239,-1.62448,01/04/17,,Onsite,27,27,BALTIC,NE8 3BA,54.96921,-1.59828,Spring 17,,764
6,Coffee & Craft,NE3 2QD,55.0165135,-1.6497,01/04/17,,Onsite,27,27,BALTIC,NE8 3BA,54.96921,-1.59828,Spring 17,,760
1,Coffee & Craft,NE3 5DS,55.0122653,-1.61048,01/04/17,,Onsite,27,27,BALTIC,NE8 3BA,54.96921,-1.59828,Spring 17,,755
7,Coffee & Craft,NE8,54.9570109,-1.61257,01/04/17,,Onsite,27,27,BALTIC,NE8 3BA,54.96921,-1.59828,Spring 17,,761
9,Coffee & Craft,NE8,54.9525359,-1.62898,01/04/17,,Onsite,27,27,BALTIC,NE8 3BA,54.96921,-1.59828,Spring 17,,763
4,Coffee & Craft,NW10 5ES,51.533361,-0.22579,01/04/17,,Onsite,27,27,BALTIC,NE8 3BA,54.96921,-1.59828,Spring 17,,758
2,Coffee & Craft,SR3,54.8703198,-1.44202,01/04/17,,Onsite,27,27,BALTIC,NE8 3BA,54.96921,-1.59828,Spring 17,,756
5,Coffee & Craft,DH4 7JD,54.8764447,-1.49989,02/04/17,,Onsite,29,29,BALTIC,NE8 3BA,54.96921,-1.59828,Spring 17,,769
8,Coffee & Craft,IG3,51.5604792,0.09793,02/04/17,,Onsite,29,29,BALTIC,NE8 3BA,54.96921,-1.59828,Spring 17,,772
6,Coffee & Craft,NE12 8TU,55.0091161,-1.58625,02/04/17,,Onsite,29,29,BALTIC,NE8 3BA,54.96921,-1.59828,Spring 17,,770
4,Coffee & Craft,NE12 9QJ,55.0240944,-1.54666,02/04/17,,Onsite,29,29,BALTIC,NE8 3BA,54.96921,-1.59828,Spring 17,,768
1,Coffee & Craft,NE26 4RR,55.0667145,-1.46789,02/04/17,,Onsite,29,29,BALTIC,NE8 3BA,54.96921,-1.59828,Spring 17,,765
3,Coffee & Craft,NE27 0DP,55.0384441,-1.51143,02/04/17,,Onsite,29,29,BALTIC,NE8 3BA,54.96921,-1.59828,Spring 17,,767
7,Coffee & Craft,NE4 5JR,54.9772401,-1.63683,02/04/17,,Onsite,29,29,BALTIC,NE8 3BA,54.96921,-1.59828,Spring 17,,771
8,Creative Kids,NE26 1DW,55.0446207,-1.44827,04/04/17,,Onsite,27,27,BALTIC,NE8 3BA,54.96921,-1.59828,Spring 17,,780
3,Creative Kids,NE26 3PR,55.0424331,-1.45315,04/04/17,,Onsite,27,27,BALTIC,NE8 3BA,54.96921,-1.59828,Spring 17,,775
