Venue,postcode,Latitude,Longitude
Baltic,NE8 3BA,54.96921,-1.59828
Birtley Library,DH3 1LE,54.89683,-1.57714
Blaydon Childrens Centre,NE21 5BT,54.96467,-1.71207
Chowdene Childrens Centre,NE9 7TU,54.92094,-1.58901
Crawcrook Library,NE40 4NB,54.96679,-1.78911
Deckham Childrens Centre,NE9 5PA,54.94782,-1.58344
Gateshead Central Library,NE8 4LN,54.95143,-1.6017
Leam Lane Library,NE10 8QH,54.94,-1.54651
Quayside Seaside,NE1 3LA,54.96988,-1.60355
Saltwell Park,NE9 5AX,54.94344,-1.60269
Thought Foundation,DH3 2TB,54.88849,-1.57693
Wallsend Festival ,NE28 7PA,54.9955,-1.53118
Whickham Library,NE16 4DN,54.94624,-1.67747
