State,Code,2018 Population
Alabama,AL,"4,888,949"
Alaska,AK,"738,068"
Arizona,AZ,"7,123,898"
Arkansas,AR,"3,020,327"
California,CA,"39,776,830"
Colorado,CO,"5,684,203"
Connecticut,CT,"3,588,683"
Delaware,DE,"971,180"
District of Columbia,DC,"703,608"
Florida,FL,"21,312,211"
Georgia,GA,"10,545,138"
Hawaii,HI,"1,426,393"
Idaho,ID,"1,753,860"
Illinois,IL,"12,768,320"
Indiana,IN,"6,699,629"
Iowa,IA,"3,160,553"
Kansas,KS,"2,918,515"
Kentucky,KY,"4,472,265"
Louisiana,LA,"4,682,509"
Maine,ME,"1,341,582"
Maryland,MD,"6,079,602"
Massachusetts,MA,"6,895,917"
Michigan,MI,"9,991,177"
Minnesota,MN,"5,628,162"
Mississippi,MS,"2,982,785"
Missouri,MO,"6,135,888"
Montana,MT,"1,062,330"
Nebraska,NE,"1,932,549"
Nevada,NV,"3,056,824"
New Hampshire,NH,"1,350,575"
New Jersey,NJ,"9,032,872"
New Mexico,NM,"2,090,708"
New York,NY,"19,862,512"
North Carolina,NC,"10,390,149"
North Dakota,ND,"755,238"
Ohio,OH,"11,694,664"
Oklahoma,OK,"3,940,521"
Oregon,OR,"4,199,563"
Pennsylvania,PA,"12,823,989"
Rhode Island,RI,"1,061,712"
South Carolina,SC,"5,088,916"
South Dakota,SD,"877,790"
Tennessee,TN,"6,782,564"
Texas,TX,"28,704,330"
Utah,UT,"3,159,345"
Vermont,VT,"623,960"
Virginia,VA,"8,525,660"
Washington,WA,"7,530,552"
West Virginia,WV,"1,803,077"
Wisconsin,WI,"5,818,049"
Wyoming,WY,"573,720"
