,mpg,displ,hp,weight,accel,origin,size
0,18.0,250.0,88,3139,14.5,US,15.0
1,9.0,304.0,193,4732,18.5,US,20.0
2,36.1,91.0,60,1800,16.4,Asia,10.0
3,18.5,250.0,98,3525,19.0,US,15.0
4,34.3,97.0,78,2188,15.8,Europe,10.0
5,32.9,119.0,100,2615,14.8,Asia,10.0
6,32.2,108.0,75,2265,15.2,Asia,10.0
7,22.0,121.0,76,2511,18.0,Europe,10.0
8,15.0,302.0,130,4295,14.9,US,20.0
9,17.0,302.0,140,3449,10.5,US,20.0
10,44.0,97.0,52,2130,24.6,Europe,10.0
11,24.5,151.0,88,2740,16.0,US,10.0
12,32.0,135.0,84,2295,11.6,US,10.0
13,14.0,351.0,148,4657,13.5,US,20.0
14,15.0,400.0,150,3761,9.5,US,20.0
15,13.0,307.0,130,4098,14.0,US,20.0
16,36.0,79.0,58,1825,18.6,Europe,10.0
17,31.0,119.0,82,2720,19.4,US,10.0
18,32.0,71.0,65,1836,21.0,Asia,10.0
19,21.5,80.0,110,2720,13.5,Asia,7.5
20,19.0,225.0,95,3264,16.0,US,15.0
21,17.0,231.0,110,3907,21.0,US,15.0
22,16.0,302.0,140,4141,14.0,US,20.0
23,15.0,383.0,170,3563,10.0,US,20.0
24,23.0,140.0,78,2592,18.5,US,10.0
25,26.0,98.0,90,2265,15.5,Europe,10.0
26,32.0,144.0,96,2665,13.9,Asia,10.0
27,24.0,113.0,95,2372,15.0,Asia,10.0
28,21.0,231.0,110,3039,15.0,US,15.0
29,31.3,120.0,75,2542,17.5,Asia,10.0
30,32.7,168.0,132,2910,11.4,Asia,15.0
31,15.0,304.0,150,3892,12.5,US,20.0
32,23.0,140.0,83,2639,17.0,US,10.0
33,17.6,225.0,85,3465,16.6,US,15.0
34,28.0,107.0,86,2464,15.5,Europe,10.0
35,24.0,116.0,75,2158,15.5,Europe,10.0
36,14.0,302.0,140,4638,16.0,US,20.0
37,18.1,302.0,139,3205,11.2,US,20.0
38,36.0,98.0,70,2125,17.3,US,10.0
39,29.0,85.0,52,2035,22.2,US,10.0
40,35.1,81.0,60,1760,16.1,Asia,10.0
41,36.0,135.0,84,2370,13.0,US,10.0
42,16.5,351.0,138,3955,13.2,US,20.0
