,republican,n,y,n.1,y.1,y.2,y.3,n.2,n.3,n.4,y.4,?,y.5,y.6,y.7,n.5,y.8
0,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,?
1,democrat,?,y,y,?,y,y,n,n,n,n,y,n,y,y,n,n
2,democrat,n,y,y,n,?,y,n,n,n,n,y,n,y,n,n,y
3,democrat,y,y,y,n,y,y,n,n,n,n,y,?,y,y,y,y
4,democrat,n,y,y,n,y,y,n,n,n,n,n,n,y,y,y,y
5,democrat,n,y,n,y,y,y,n,n,n,n,n,n,?,y,y,y
6,republican,n,y,n,y,y,y,n,n,n,n,n,n,y,y,?,y
7,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
8,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,?,?
9,republican,n,y,n,y,y,n,n,n,n,n,?,?,y,y,n,n
10,republican,n,y,n,y,y,y,n,n,n,n,y,?,y,y,?,?
11,democrat,n,y,y,n,n,n,y,y,y,n,n,n,y,n,?,?
12,democrat,y,y,y,n,n,y,y,y,?,y,y,?,n,n,y,?
13,republican,n,y,n,y,y,y,n,n,n,n,n,y,?,?,n,?
14,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,?,n,?
15,democrat,y,n,y,n,n,y,n,y,?,y,y,y,?,n,n,y
16,democrat,y,?,y,n,n,n,y,y,y,n,n,n,y,n,y,y
17,republican,n,y,n,y,y,y,n,n,n,n,n,?,y,y,n,n
18,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
19,democrat,y,y,y,n,n,?,y,y,n,n,y,n,n,n,y,y
20,democrat,y,y,y,n,n,n,y,y,y,n,n,n,?,?,y,y
21,democrat,y,?,y,n,n,n,y,y,y,n,n,?,n,n,y,y
22,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
23,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?
24,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
25,democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
26,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
27,republican,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y
28,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
29,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
30,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,?
31,democrat,y,y,y,n,n,n,y,y,y,y,n,n,y,n,y,y
32,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
33,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
34,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
35,republican,y,?,n,y,y,y,n,n,n,y,n,y,?,y,n,y
36,republican,y,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y
37,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
38,democrat,y,n,y,n,n,n,y,y,y,y,y,n,y,n,y,y
39,democrat,y,y,y,n,n,n,y,y,y,n,?,n,n,n,n,?
40,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,?
41,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
42,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
43,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,?
44,democrat,y,y,y,n,n,n,y,y,?,n,y,n,n,n,y,?
45,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
46,democrat,y,n,y,n,n,n,y,y,?,n,n,n,n,n,n,?
47,democrat,y,y,y,n,n,n,y,y,n,n,n,n,n,y,n,y
48,republican,n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,n
49,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
50,republican,n,y,n,y,y,y,n,?,n,n,n,y,y,y,n,y
51,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,?,?
52,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
53,democrat,y,y,y,n,n,y,?,y,n,n,y,y,n,y,n,?
54,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n
55,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y
56,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
57,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
58,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,?
59,democrat,y,y,y,n,n,?,y,y,y,y,n,n,n,n,y,?
60,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
61,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,?
62,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y
63,democrat,y,y,y,n,n,n,y,y,y,n,y,?,n,n,n,y
64,republican,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y
65,republican,n,y,n,y,y,y,y,n,n,n,y,y,y,y,n,y
66,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
67,democrat,y,?,y,n,n,n,y,y,y,n,n,n,y,n,y,y
68,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
69,democrat,y,n,y,n,n,n,y,y,y,n,n,n,y,n,y,?
70,republican,y,y,y,y,n,n,y,y,y,y,y,n,n,y,n,y
71,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,?
72,republican,y,n,y,y,y,n,y,n,y,y,n,n,y,y,n,y
73,democrat,y,n,y,n,n,y,y,y,y,y,y,n,n,y,y,y
74,democrat,n,y,y,y,y,y,n,n,n,y,y,n,y,y,n,n
75,democrat,n,y,y,n,y,y,n,n,n,y,y,y,y,y,n,?
76,democrat,n,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y
77,democrat,y,y,y,n,y,y,n,n,n,y,y,n,y,y,n,y
78,republican,n,n,n,y,y,n,n,n,n,y,n,y,y,y,n,n
79,democrat,y,n,y,n,n,y,y,y,y,y,n,y,n,y,n,?
80,democrat,y,n,y,n,n,n,y,y,?,y,y,y,n,y,n,y
81,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
82,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
