mpg,cyl,displ,hp,weight,accel,yr,origin,name,color,size
18,6,250,88,3139,14.5,71,US,ford mustang,blue,15
9,8,304,193,4732,18.5,70,US,hi 1200d,blue,20
36.1,4,91,60,1800,16.4,78,Asia,honda civic cvcc,red,10
18.5,6,250,98,3525,19,77,US,ford granada,blue,15
34.3,4,97,78,2188,15.8,80,Europe,audi 4000,green,10
32.9,4,119,100,2615,14.8,81,Asia,datsun 200sx,red,10
32.2,4,108,75,2265,15.2,80,Asia,toyota corolla,red,10
22,4,121,76,2511,18,72,Europe,volkswagen 411 (sw),green,10
15,8,302,130,4295,14.9,77,US,mercury cougar brougham,blue,20
17,8,302,140,3449,10.5,70,US,ford torino,blue,20
44,4,97,52,2130,24.6,82,Europe,vw pickup,green,10
24.5,4,151,88,2740,16,77,US,pontiac sunbird coupe,blue,10
32,4,135,84,2295,11.6,82,US,dodge rampage,blue,10
14,8,351,148,4657,13.5,75,US,ford ltd,blue,20
15,8,400,150,3761,9.5,70,US,chevrolet monte carlo,blue,20
13,8,307,130,4098,14,72,US,chevrolet chevelle concours (sw),blue,20
36,4,79,58,1825,18.6,77,Europe,renault 5 gtl,green,10
31,4,119,82,2720,19.4,82,US,chevy s-10,blue,10
32,4,71,65,1836,21,74,Asia,toyota corolla 1200,red,10
21.5,3,80,110,2720,13.5,77,Asia,mazda rx-4,red,7.5
19,6,225,95,3264,16,75,US,plymouth valiant custom,blue,15
17,6,231,110,3907,21,75,US,buick century,blue,15
16,8,302,140,4141,14,74,US,ford gran torino,blue,20
15,8,383,170,3563,10,70,US,dodge challenger se,blue,20
23,4,140,78,2592,18.5,75,US,pontiac astro,blue,10
26,4,98,90,2265,15.5,73,Europe,fiat 124 sport coupe,green,10
32,4,144,96,2665,13.9,82,Asia,toyota celica gt,red,10
24,4,113,95,2372,15,70,Asia,toyota corona mark ii,red,10
21,6,231,110,3039,15,75,US,buick skyhawk,blue,15
31.3,4,120,75,2542,17.5,80,Asia,mazda 626,red,10
32.7,6,168,132,2910,11.4,80,Asia,datsun 280-zx,red,15
15,8,304,150,3892,12.5,72,US,amc matador (sw),blue,20
23,4,140,83,2639,17,75,US,ford pinto,blue,10
17.6,6,225,85,3465,16.6,81,US,chrysler lebaron salon,blue,15
28,4,107,86,2464,15.5,76,Europe,fiat 131,green,10
24,4,116,75,2158,15.5,73,Europe,opel manta,green,10
14,8,302,140,4638,16,74,US,ford gran torino (sw),blue,20
18.1,8,302,139,3205,11.2,78,US,ford futura,blue,20
36,4,98,70,2125,17.3,82,US,mercury lynx l,blue,10
29,4,85,52,2035,22.2,76,US,chevrolet chevette,blue,10
35.1,4,81,60,1760,16.1,81,Asia,honda civic 1300,red,10
36,4,135,84,2370,13,82,US,dodge charger 2.2,blue,10
16.5,8,351,138,3955,13.2,79,US,mercury grand marquis,blue,20
16,8,400,180,4220,11.1,77,US,pontiac grand prix lj,blue,20
29.9,4,98,65,2380,20.7,81,US,ford escort 2h,blue,10
31,4,79,67,1950,19,74,Asia,datsun b210,red,10
27.2,4,119,97,2300,14.7,78,Asia,datsun 510,red,10
14,8,318,150,4457,13.5,74,US,dodge coronet custom (sw),blue,20
32.1,4,98,70,2120,15.5,80,US,chevrolet chevette,blue,10
15,6,250,100,3336,17,74,US,chevrolet nova,blue,15
